iter	RMSE
0	3715.32252
1	3051.435762
2	2625.678637
3	2348.241922
4	2166.436087
5	2045.661038
6	1941.094786
7	1871.497226
8	1829.272031
9	1799.456052
10	1777.028235
11	1759.154394
12	1744.227826
13	1731.299938
14	1720.958621
15	1704.87999
16	1697.078093
17	1689.939054
18	1684.387746
19	1672.952883
20	1667.852383
21	1661.939632
22	1654.828169
23	1647.547115
24	1641.997177
25	1637.368533
26	1633.407761
27	1628.468246
28	1622.714033
29	1617.168041
30	1614.186328
31	1607.626598
32	1602.939
33	1600.716868
34	1596.592873
35	1593.174174
36	1589.682876
37	1585.24209
38	1580.850467
39	1578.026606
40	1575.716394
41	1572.96304
42	1570.195193
43	1565.350362
44	1562.295531
45	1559.264421
46	1556.876406
47	1554.272451
48	1552.552117
49	1551.124166
50	1547.176366
51	1544.388791
52	1541.327981
53	1538.588307
54	1536.019797
55	1534.690996
56	1533.424424
57	1531.11548
58	1528.825039
59	1527.467362
60	1525.981475
61	1523.493014
62	1522.152326
63	1519.736743
64	1518.46497
65	1516.648488
66	1513.419648
67	1512.074021
68	1509.790137
69	1508.630663
70	1506.155824
71	1504.621085
72	1502.822659
73	1501.006284
74	1499.075141
75	1496.579951
76	1495.003345
77	1493.992454
78	1491.606207
79	1489.989494
80	1488.421237
81	1486.874712
82	1485.320351
83	1483.887345
84	1482.801943
85	1481.787957
86	1479.775018
87	1478.831129
88	1477.766055
89	1475.301568
90	1474.0835
91	1473.111495
92	1470.888146
93	1469.130436
94	1468.047213
95	1466.994133
96	1465.077145
97	1464.162669
98	1462.539754
99	1461.55802
100	1460.173864
101	1458.335193
102	1456.946025
103	1454.813603
104	1453.286289
105	1452.155326
106	1450.696252
107	1449.584387
108	1448.289821
109	1447.658544
110	1446.418386
111	1445.311622
112	1444.46996
113	1443.522058
114	1442.971087
115	1441.641613
116	1441.129577
117	1439.905707
118	1439.049376
119	1438.27327
120	1437.500718
121	1436.812555
122	1436.311496
123	1435.280606
124	1434.272133
125	1433.681635
126	1432.427531
127	1431.537265
128	1430.371358
129	1428.961425
130	1428.098729
131	1427.096689
132	1426.248464
133	1425.749426
134	1425.141542
135	1424.537703
136	1423.768738
137	1422.738399
138	1422.034796
139	1420.89639
140	1420.26342
141	1419.765165
142	1419.206211
143	1417.786393
144	1417.26166
145	1416.383016
146	1415.210476
147	1413.771991
148	1413.074959
149	1412.081578
