iter	Passed	Remaining
0	124	18479
1	247	18336
2	343	16836
3	446	16296
4	559	16236
5	654	15719
6	753	15400
7	844	14984
8	919	14404
9	1004	14058
10	1106	13986
11	1199	13791
12	1289	13585
13	1379	13401
14	1463	13171
15	1564	13101
16	1638	12819
17	1717	12595
18	1792	12360
19	1867	12141
20	1967	12086
21	2052	11943
22	2149	11869
23	2221	11661
24	2320	11601
25	2441	11645
26	2606	11874
27	2739	11936
28	2875	11996
29	2950	11801
30	3025	11613
31	3107	11457
32	3175	11258
33	3255	11107
34	3342	10983
35	3545	11226
36	3643	11128
37	3712	10941
38	3783	10769
39	3850	10589
40	3919	10420
41	3987	10252
42	4060	10105
43	4134	9960
44	4223	9854
45	4297	9715
46	4379	9596
47	4465	9488
48	4562	9405
49	4639	9278
50	4714	9152
51	4795	9037
52	4880	8931
53	4967	8830
54	5058	8738
55	5134	8618
56	5209	8500
57	5293	8396
58	5381	8299
59	5459	8189
60	5546	8092
61	5638	8003
62	5710	7886
63	5794	7786
64	5865	7670
65	5938	7558
66	6009	7444
67	6086	7339
68	6158	7229
69	6233	7124
70	6308	7019
71	6383	6915
72	6453	6807
73	6524	6700
74	6598	6598
75	6675	6499
76	6756	6405
77	6840	6313
78	6922	6221
79	7006	6130
80	7091	6040
81	7166	5942
82	7239	5843
83	7337	5765
84	7423	5677
85	7499	5581
86	7570	5481
87	7646	5387
88	7728	5296
89	7807	5204
90	7886	5113
91	7967	5023
92	8049	4933
93	8126	4841
94	8213	4755
95	8285	4660
96	8358	4566
97	8432	4474
98	8507	4382
99	8580	4290
100	8659	4201
101	8735	4110
102	8815	4022
103	8904	3938
104	9001	3857
105	9097	3776
106	9174	3687
107	9262	3602
108	9339	3513
109	9420	3425
110	9508	3340
111	9589	3253
112	9681	3170
113	9761	3082
114	9853	2998
115	9927	2909
116	10043	2832
117	10138	2749
118	10202	2657
119	10271	2567
120	10351	2480
121	10425	2392
122	10496	2304
123	10578	2218
124	10649	2129
125	10747	2047
126	10834	1962
127	10923	1877
128	11137	1813
129	11521	1772
130	11804	1712
131	12290	1675
132	12658	1617
133	12952	1546
134	13220	1468
135	13333	1372
136	13440	1275
137	13568	1179
138	13713	1085
139	13817	986
140	13958	890
141	14054	791
142	14149	692
143	14267	594
144	14391	496
145	14518	397
146	14602	298
147	14694	198
148	14779	99
149	14867	0
